CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,CH01,CH01_01,CH01_02,CH01_04,CH01_05,CH01_06,CH02,CH06,CH07,CH08,CH09,CH03,CH03x01,CH03x02,CH03x03,CH10,CH10x01,CH10x02,CH10x03,CH11,CH11x01,CH11x02,CH11x03,CH12,CH12x01,CH12x02,CH12x03,CH13,CH13x01,CH13x02,CH13x03,CH04,CH05,CH05_01,CH05_02,CH05_03,CH05_04,CH05_05,CH05_06,CH05_06a,CH19,CH21_01,CO03,CO03_01,CO03_02,CO03_03,CO03_04,CO04_PRV,CO04_OS,CO04_BNM,CO04_BVS,CO04_FmF,DE01,DE02,DE05,DE05_05,DE06,DE06_11,points_given,info_use_info,info_use_text,info_use_structure,info_use_tech,info_use_study,IP01,KR01,NU01,NU02,NU03,NU04_01,NU04_02,SC04,SC05,SC06,SC06_01,SC06_02,SC06_03,SC06_04,SC06_05,SC06_06,SC06_07,SC06_07a,sd_argument,sd_stressed,sd_listening,sd_advantage,sd_litter,sd_help,SE01_01,SE01_02,SE01_03,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME015,TIME016,TIME017,TIME018,TIME019,TIME020,TIME021,TIME022,TIME023,TIME024,TIME025,TIME026,TIME027,TIME028,TIME029,TIME030,TIME_SUM,MAILSENT,LASTDATA,STATUS,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,n_chats_valid,obs_info_n,obs_schreiben_n,obs_praktisch_n,obs_technisch_n,obs_lernen_n,obs_sent_freundlich_n,obs_sent_neutral_n,obs_sent_unfreundlich_n,obs_kritisch_ja_n,obs_kritisch_nein_n,final_sample
241,NA,NA,base,interview,2026-07-08T19:14:24Z,5,TRUE,TRUE,TRUE,TRUE,TRUE,-2,-2,-2,-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,20,5,0,1,1,9,2,NA,3,NA,10,2,-9,3,5,0,2,2,5,NA,NA,4,4,2,4,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,5,4,5,4,4,2,4,1,5,NA,120,121,10,7,17,5,19,15,11,63,23,677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,37,4,13,6,12,40,1034,NA,2026-07-08T19:35:29Z,complete,TRUE,FALSE,30,30,5,0,0,0,5,0,1,4,0,2,3,1
244,NA,NA,base,interview,2026-07-09T10:16:05Z,5,TRUE,TRUE,TRUE,TRUE,TRUE,-2,-2,-2,-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,15,5,0,1,1,15,2,NA,5,NA,10,1,-9,1,3,5,1,4,3,NA,NA,4,4,2,3,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,4,4,4,2,1,1,4,3,4,NA,8,6,3,7,3,4,20,3,7,14,5,462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,11,2,6,3,4,31,606,NA,2026-07-09T10:26:11Z,complete,TRUE,FALSE,30,30,5,0,0,0,0,5,5,0,0,1,4,1
246,NA,NA,base,interview,2026-07-09T11:14:01Z,0,FALSE,FALSE,FALSE,FALSE,FALSE,-9,-9,-9,-9,-9,-1,NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,-2,-2,NA,1,1,8,1,NA,3,NA,10,4,2,1,-9,3,2,5,4,NA,NA,5,5,2,4,2,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,4,4,4,2,1,2,NA,NA,NA,NA,90,32,4,7,10,10,21,12,9,65,28,8,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,19,38,322,NA,2026-07-09T11:20:42Z,complete,TRUE,FALSE,30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
248,NA,NA,base,interview,2026-07-09T14:09:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,-2,-2,NA,1,NA,NA,NA,NA,NA,NA,10,5,-9,3,-9,2,1,5,3,NA,NA,4,4,2,4,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,21,6,8,20,8,42,47,10,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209,NA,2026-07-09T14:14:32Z,NA,FALSE,FALSE,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
249,NA,NA,base,interview,2026-07-09T14:19:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,FALSE,-1,15,5,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,2026-07-09T14:19:18Z,screenout,TRUE,FALSE,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
250,NA,NA,base,interview,2026-07-09T14:19:23Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,15,5,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,9,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,2026-07-09T14:19:41Z,screenout,TRUE,FALSE,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
255,NA,NA,base,interview,2026-07-09T14:30:27Z,5,TRUE,TRUE,TRUE,TRUE,TRUE,-9,-9,-9,-9,-9,2,Fehlermeldungen in R.html,CH03.000255.html,2026-07-09T14:48:45Z,2,Nachrichtenkonsum und Engagement.html,CH10.000255.html,2026-07-09T14:48:45Z,2,Paper Reproduktion Einschätzung.html,CH11.000255.html,2026-07-09T14:48:45Z,2,Quellen nach Zitierregeln anpassen.html,CH12.000255.html,2026-07-09T14:48:45Z,2,Zusammenfassung des Papers.html,CH13.000255.html,2026-07-09T14:48:45Z,NA,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,-2,-2,NA,1,2,7,2,NA,3,NA,10,4,2,2,2,-9,3,2,4,NA,NA,4,4,2,4,3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,4,3,4,3,2,2,5,4,5,NA,28,14,3,7,6,6,10,6,10,47,13,264,NA,684,NA,NA,NA,NA,NA,NA,NA,NA,11,24,2,8,4,3,42,530,NA,2026-07-09T14:50:19Z,complete,TRUE,FALSE,30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
256,NA,NA,base,interview,2026-07-09T14:36:33Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,-2,-2,NA,1,NA,NA,NA,NA,NA,NA,10,2,4,2,1,1,3,5,3,NA,NA,4,4,2,4,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,40,3,13,14,12,32,18,9,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,NA,2026-07-09T14:43:15Z,NA,FALSE,FALSE,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
257,NA,NA,base,interview,2026-07-09T14:49:46Z,5,TRUE,TRUE,TRUE,TRUE,TRUE,-2,-2,-2,-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,copy paste hat häufig nicht funktioniert,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,-2,-2,NA,1,1,9,2,NA,3,NA,10,4,2,2,2,-9,3,4,5,NA,NA,4,4,2,5,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,3,3,3,3,3,2,4,3,3,NA,27,15,2,4,6,7,10,8,15,35,27,1323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170,184,3,4,4,16,31,1568,NA,2026-07-09T15:21:17Z,complete,TRUE,FALSE,30,30,5,0,1,4,0,0,2,3,0,4,1,1
258,NA,NA,base,interview,2026-07-09T14:54:49Z,5,TRUE,TRUE,TRUE,TRUE,TRUE,-2,-2,-2,-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,-2,-2,NA,1,2,9,2,NA,3,NA,10,2,3,1,4,-9,2,2,5,NA,NA,5,5,2,5,3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,3,2,2,5,5,5,5,5,4,NA,2,13,2,3,6,3,5,8,10,12,4,669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,14,2,3,2,2,10,776,NA,2026-07-09T15:07:46Z,complete,TRUE,FALSE,30,30,5,1,0,3,1,0,2,3,0,0,5,1
