Charakteristik,Analysestichprobe (N = 21),Ausgeschlossene Fälle (N = 17)
Alter in Jahren,"24,00 (23,00; 25,00)","24,00 (22,00; 25,00)"
Dauer der Befragung in Minuten,"12,95 (8,30; 16,13)","5,37 (4,73; 8,83)"
Geschlecht,,
   Männlich,"12 (57,1%)","8 (47,1%)"
   Weiblich,"9 (42,9%)","9 (52,9%)"
Angestrebter Abschluss,,
   Bachelor,"4 (19,0%)","10 (58,8%)"
   Master,"14 (66,7%)","6 (35,3%)"
   Staatsexamen oder Lehramtsprüfung,"3 (14,3%)","1 (5,9%)"
Studienrichtung,,
   Geistes- und Kulturwissenschaften,"0 (0,0%)","1 (5,9%)"
   Sozialwissenschaften,"11 (52,4%)","9 (52,9%)"
   Rechts- und Wirtschaftswissenschaften,"2 (9,5%)","4 (23,5%)"
   Mathematik und Naturwissenschaften,"3 (14,3%)","2 (11,8%)"
   Informatik,"2 (9,5%)","0 (0,0%)"
"   Kunst, Musik und Gestaltung","0 (0,0%)","1 (5,9%)"
   Lehramt,"3 (14,3%)","0 (0,0%)"
KI-Erfahrung (1–5),"4,00 (3,00; 5,00)","4,00 (4,00; 5,00)"
Nutzungshäufigkeit (2–6),"4,00 (4,00; 5,00)","4,00 (4,00; 5,00)"
Informationskompetenz: geeignete Quellen finden (1–5),"4,00 (4,00; 5,00)","4,00 (4,00; 5,00)"
Informationskompetenz: Anfragen formulieren (1–5),"4,00 (4,00; 5,00)","4,00 (4,00; 5,00)"
Soziale Erwünschtheit (1–5),"3,67 (3,17; 4,00)","4,00 (3,50; 4,17)"
